"community","no of nodes","indegree","ind"," no of nodes max in","no of sink nodes"
"68","12112","9704097.0","1","12111","6114"
"69","11715","9307166.0","1","11714","5876"
"70","11652","9702103.0","1","11651","5859"
"71","11713","9602060.0","1","11712","5884"
"72","11188","9510227.0","1","11187","5617"
"73","9984","9608177.0","1","9983","4975"
"74","7399","9703082.0","1","7398","3586"
"75","8714","9704097.0","1","8713","4322"
"76","7312","9802194.0","1","7311","3546"
"77","7886","9804041.0","1","7885","3862"
"78","10991","9810188.0","1","10990","5516"
"79","7321","9810188.0","1","7320","3556"
"80","4335","9904207.0","1","4334","2038"
"81","2913","9906075.0","1","2912","1386"
"82","3661","9907189.0","1","3660","1731"
"83","9645","9908144.0","1","9644","4808"
"84","9479","9908144.0","1","9478","4723"
"85","2747","9908144.0","1","2746","1294"
"86","7310","2063.0","1","7309","3553"
"87","2077","2074.0","1","2076","978"
"88","7273","9909229.0","1","7272","3540"
"89","11544","9210123.0","1","11543","5813"
"90","11374","1002.0","1","11373","5727"
"91","12140","9604090.0","1","12139","6131"
"92","3268","1002.0","1","3267","1529"
"93","3824","9909053.0","1","3823","1810"
"94","11853","9812073.0","1","11852","5942"
"95","11534","9210123.0","1","11533","5806"
"96","12386","9402089.0","1","12385","6265"
"97","12254","9402089.0","1","12253","6196"
"98","9246","9604090.0","1","9245","4604"
"99","11348","9604090.0","1","11347","5701"
"100","183","9809167.0","1","182","78"
"101","3271","9803156.0","1","3270","1522"
"102","12559","9911150.0","1","12558","6357"
"103","7273","9808162.0","1","7272","3550"
"104","7273","9902125.0","1","7272","3537"
"105","11334","9704177.0","1","11333","5699"
"106","7322","9906064.0","1","7321","3567"
"107","3139","9912125.0","1","3138","1478"
"108","12140","9912118.0","1","12139","6122"
"109","3330","9912118.0","1","3329","1568"
"110","3461","1094.0","1","3460","1657"
"111","2083","1107.0","1","2082","959"
"112","3054","9912242.0","1","3053","1436"
"113","3","1004.0","1","2","2"
"114","3587","9908025.0","1","3586","1689"
"115","3216","1005.0","1","3215","1524"
"116","11515","9311183.0","1","11514","5801"
"117","11594","9601078.0","1","11593","5814"
"118","7575","9601078.0","1","7574","3672"
"119","7494","9611092.0","1","7493","3637"
"120","5233","9611194.0","1","5232","2503"
"121","3687","9902120.0","1","3686","1731"
"122","1747","4010.0","1","1746","804"
"123","98","9908032.0","1","97","43"
"124","4063","9904145.0","1","4062","1939"
"125","3110","9908040.0","1","3109","1473"
"126","3561","9908025.0","1","3560","1675"
"127","104","9301026.0","1","103","47"
"128","5405","3190.0","1","5404","2584"
"129","7584","9404185.0","1","7583","3690"
"130","23","6094.0","1","22","9"
"131","578","9412213.0","1","577","263"
"132","16","9507118.0","1","15","7"
"133","280","5100.0","1","279","118"
"134","4024","9812110.0","1","4023","1892"
"135","5246","9908040.0","1","5245","2520"
"136","7317","9604026.0","1","7316","3542"
"137","3445","9903077.0","1","3444","1641"
"138","7348","9902004.0","1","7347","3585"
"139","12297","9501144.0","1","12296","6182"
"140","2952","9909163.0","1","2951","1395"
"141","10","9301075.0","1","9","6"
"142","3603","9811211.0","1","3602","1697"
"143","17","9912084.0","1","16","9"
"144","84","3120.0","1","83","39"
"145","613","9511002.0","1","612","280"
"146","7293","9901148.0","1","7292","3536"
"147","344","1017.0","1","343","163"
"148","1458","9910076.0","1","1457","654"
"149","4","1008.0","1","3","2"
"150","7606","1008.0","1","7605","3702"
"151","8649","9409139.0","1","8648","4273"
"152","17","9512083.0","1","16","10"
"153","9669","9601116.0","1","9668","4817"
"154","7","9611086.0","1","6","3"
"155","7","108243.0","1","6","3"
"156","5","11096.0","1","4","2"
"157","8644","9409139.0","1","8643","4269"
"158","4","7139.0","1","3","3"
"159","7900","1010.0","1","7899","3878"
"160","9300","9603136.0","1","9299","4619"
"161","7881","9706225.0","1","7880","3864"
"162","7282","9809130.0","1","7281","3542"
"163","7323","9901128.0","1","7322","3568"
"164","11691","9601064.0","1","11690","5900"
"165","8631","9710231.0","1","8630","4288"
"166","7783","9611072.0","1","7782","3803"
"167","12124","9310144.0","1","12123","6119"
"168","9439","9710231.0","1","9438","4719"
"169","9556","9710231.0","1","9555","4775"
"170","8192","9710231.0","1","8191","4040"
"171","7446","9712201.0","1","7445","3641"
"172","8084","9711162.0","1","8083","3977"
"173","8039","9711162.0","1","8038","3941"
"174","7362","9805069.0","1","7361","3592"
"175","7280","9903113.0","1","7279","3529"
"176","9316","9407026.0","1","9315","4632"
"177","9043","9503125.0","1","9042","4490"
"178","7297","9911245.0","1","7296","3556"
"179","9844","1012.0","1","9843","4904"
"180","926","9403141.0","1","925","430"
"181","288","9405136.0","1","287","124"
"182","3754","1012.0","1","3753","1789"
"183","791","1012.0","1","790","363"
"184","7382","9403141.0","1","7381","3584"
"185","8942","9211114.0","1","8941","4444"
"186","12194","9306002.0","1","12193","6143"
"187","9408","9403141.0","1","9407","4682"
"188","2240","9403141.0","1","2239","1032"
"189","288","9405136.0","1","287","124"
"190","925","9403141.0","1","924","429"
"191","5","9608040.0","1","4","3"
"192","8538","9612039.0","1","8537","4201"
"193","837","3269.0","1","836","383"
"194","13","9903011.0","1","12","5"
"195","35","9911063.0","1","34","17"
"196","18","6106.0","1","17","9"
"197","25","1129.0","1","24","15"
"198","34","9806244.0","1","33","17"
"199","649","9807215.0","1","648","289"
"200","645","1129.0","1","644","287"
"201","8242","9711002.0","1","8241","4064"
"202","11654","1076.0","1","11653","5841"
"203","3083","9504043.0","1","3082","1446"
"204","3014","9903221.0","1","3013","1432"
"205","11703","1041.0","1","11702","5915"
"206","9374","1168.0","1","9373","4666"
"207","7687","9902012.0","1","7686","3761"
"208","47","9811077.0","1","46","24"
"209","230","9906198.0","1","229","104"
"210","75","1153.0","1","74","40"
"211","7505","9610101.0","1","7504","3662"
"212","31","9903223.0","1","30","14"
"213","7616","9801049.0","1","7615","3730"
"214","9277","9802163.0","1","9276","4620"
"215","7418","9802163.0","1","7417","3613"
"216","4616","9906048.0","1","4615","2200"
"217","3123","9911083.0","1","3122","1469"
"218","206","9703097.0","1","205","85"
"219","202","2049.0","1","201","82"
"220","1661","9605022.0","1","1660","773"
"221","1665","9605022.0","1","1664","776"
"222","3233","9605022.0","1","3232","1524"
"223","5","2064.0","1","4","3"
"224","239","3143.0","1","238","107"
"225","3","107085.0","1","2","2"
"226","3","9711189.0","1","2","1"
"227","5","9912102.0","1","4","2"
"228","189","9812059.0","1","188","76"
"229","38","9901011.0","1","37","15"
"230","1640","9909210.0","1","1639","762"
"231","8","9912223.0","1","7","3"
"232","7283","9809204.0","1","7282","3543"
"233","8093","9604136.0","1","8092","3964"
"234","8852","9503045.0","1","8851","4400"
"235","11","9508176.0","1","10","5"
"236","7422","9705193.0","1","7421","3611"
"237","7414","9802082.0","1","7413","3597"
"238","8813","9704137.0","1","8812","4385"
"239","19","9806068.0","1","18","7"
"240","9083","1022.0","1","9082","4517"
"241","2981","9902115.0","1","2980","1419"
"242","10551","102137.0","1","10550","5295"
"243","3205","9612084.0","1","3204","1520"
"244","3186","9612084.0","1","3185","1508"
"245","7472","9903045.0","1","7471","3641"
"246","7332","9706031.0","1","7331","3572"
"247","7354","9706031.0","1","7353","3585"
"248","1581","9902165.0","1","1580","731"
"249","1825","9910131.0","1","1824","849"
"250","1524","9910131.0","1","1523","697"
"251","4","9910131.0","1","3","1"
"252","1178","9910131.0","1","1177","546"
"253","1177","9901069.0","1","1176","550"
"254","7324","9603117.0","1","7323","3575"
"255","33","9912113.0","1","32","17"
"256","329","9912113.0","1","328","141"
"257","971","9912113.0","1","970","450"
"258","23","5168.0","1","22","9"
"259","3176","1024.0","1","3175","1494"
"260","7344","9506170.0","1","7343","3574"
"261","11253","9508175.0","1","11252","5648"
"262","10727","9812074.0","1","10726","5394"
"263","7365","9810154.0","1","7364","3575"
"264","9596","9812074.0","1","9595","4786"
"265","975","9904109.0","1","974","453"
"266","7299","9806236.0","1","7298","3563"
"267","532","1195.0","1","531","234"
"268","3183","9905217.0","1","3182","1498"
"269","5","9909007.0","1","4","1"
"270","3178","9909015.0","1","3177","1493"
"271","3923","1025.0","1","3922","1841"
"272","7406","9203079.0","1","7405","3605"
"273","11711","9308005.0","1","11710","5877"
"274","11570","9211047.0","1","11569","5802"
"275","11597","2081.0","1","11596","5839"
"276","12188","9309140.0","1","12187","6130"
"277","11234","9510182.0","1","11233","5619"
"278","12048","1076.0","1","12047","6047"
"279","12209","9309140.0","1","12208","6140"
"280","12077","9805129.0","1","12076","6059"
"281","12160","9309140.0","1","12159","6115"
"282","12423","9309140.0","1","12422","6263"
"283","11666","9403123.0","1","11665","5851"
"284","11970","9505150.0","1","11969","6023"
"285","13022","9708086.0","1","13021","6628"
"286","12844","9504027.0","1","12843","6506"
"287","9344","9606112.0","1","9343","4636"
"288","11841","9609017.0","1","11840","5958"
"289","3139","9504082.0","1","3138","1472"
"290","8028","9710206.0","1","8027","3928"
"291","7848","9712186.0","1","7847","3832"
"292","4444","9807056.0","1","4443","2110"
"293","11063","9702021.0","1","11062","5555"
"294","11058","9811237.0","1","11057","5563"
"295","11350","9911116.0","1","11349","5702"
"296","6","9811099.0","1","5","4"
"297","5069","9908126.0","1","5068","2405"
"298","3582","9910170.0","1","3581","1712"
"299","8822","1026.0","1","8821","4382"
"300","11203","9310144.0","1","11202","5626"
"301","12353","9211040.0","1","12352","6222"
"302","8836","9312059.0","1","8835","4388"
"303","12510","9506206.0","1","12509","6312"
"304","12419","9312003.0","1","12418","6284"
"305","9218","9312059.0","1","9217","4576"
"306","3329","9312059.0","1","3328","1582"
"307","8826","9223.0","1","8825","4386"
"308","4878","9901119.0","1","4877","2335"
"309","9992","9312059.0","1","9991","4974"
"310","11969","9312059.0","1","11968","6034"
"311","3370","9312059.0","1","3369","1601"
"312","3330","9312059.0","1","3329","1582"
"313","3327","9312059.0","1","3326","1580"
"314","32","9501004.0","1","31","19"
"315","37","9801169.0","1","36","21"
"316","10848","9412228.0","1","10847","5446"
"317","8966","9412228.0","1","8965","4465"
"318","12333","9412228.0","1","12332","6243"
"319","7416","9611070.0","1","7415","3619"
"320","8975","9412228.0","1","8974","4472"
"321","9061","9412228.0","1","9060","4519"
"322","11797","1081.0","1","11796","5948"
"323","8970","9412228.0","1","8969","4468"
"324","9011","9603012.0","1","9010","4493"
"325","12435","9211040.0","1","12434","6268"
"326","7852","9509047.0","1","7851","3860"
"327","70","9502031.0","1","69","38"
"328","7","9308076.0","1","6","2"
"329","3281","9610122.0","1","3280","1545"
"330","9021","9502031.0","1","9020","4497"
"331","9312","9412228.0","1","9311","4634"
"332","11838","9506210.0","1","11837","5955"
"333","67","9511020.0","1","66","36"
"334","3671","9606181.0","1","3670","1726"
"335","227","6120.0","1","226","98"
"336","11691","9412228.0","1","11690","5907"
"337","9","9502137.0","1","8","5"
"338","8778","9405088.0","1","8777","4359"
"339","20","9602173.0","1","19","8"
"340","7959","9705038.0","1","7958","3889"
"341","3098","1027.0","1","3097","1471"
"342","3429","9903077.0","1","3428","1635"
"343","726","9603012.0","1","725","324"
"344","7351","9810104.0","1","7350","3582"
"345","7273","9904191.0","1","7272","3549"
"346","7287","9708123.0","1","7286","3533"
"347","316","9807188.0","1","315","137"
"348","7273","9908153.0","1","7272","3532"
"349","7273","9910052.0","1","7272","3531"
"350","9163","9910004.0","1","9162","4559"
"351","3005","9910091.0","1","3004","1420"
"352","3005","9910091.0","1","3004","1420"
"353","313","1028.0","1","312","127"
"354","7472","9802162.0","1","7471","3630"
"355","2870","9912158.0","1","2869","1363"
"356","7316","9903113.0","1","7315","3562"
"357","2899","9910055.0","1","2898","1375"
"358","11642","9405002.0","1","11641","5835"
"359","5220","9902071.0","1","5219","2500"
"360","11460","9608024.0","1","11459","5772"
"361","2053","9504114.0","1","2052","951"
"362","20","9912104.0","1","19","10"
"363","7303","9804176.0","1","7302","3532"
"364","11232","9510182.0","1","11231","5616"
"365","4586","9901020.0","1","4585","2181"
"366","5","1030.0","1","4","4"
"367","5","9406173.0","1","4","2"
"368","202","4203.0","1","201","93"
"369","548","1031.0","1","547","244"
"370","969","3123.0","1","968","439"
"371","7331","9812172.0","1","7330","3581"
"372","3046","1033.0","1","3045","1429"
"373","7273","9803051.0","1","7272","3545"
"374","11564","9511043.0","1","11563","5833"
"375","7479","2142.0","1","7478","3627"
"376","1641","9702007.0","1","1640","762"
"377","11283","1035.0","1","11282","5650"
"378","11527","9604123.0","1","11526","5800"
"379","9548","9410152.0","1","9547","4765"
"380","11484","9310170.0","1","11483","5778"
"381","9610","9510106.0","1","9609","4767"
"382","11500","9410152.0","1","11499","5799"
"383","11483","9510106.0","1","11482","5767"
"384","3466","9508139.0","1","3465","1624"
"385","1210","9407179.0","1","1209","555"
"386","7273","9812046.0","1","7272","3534"
"387","7275","9902098.0","1","7274","3525"
"388","7274","9902098.0","1","7273","3525"
"389","3957","9903219.0","1","3956","1884"
"390","2","9505109.0","1","1","1"
"391","8635","9705241.0","1","8634","4266"
"392","7324","1036.0","1","7323","3545"
"393","11275","9308052.0","1","11274","5639"
"394","12118","9411149.0","1","12117","6131"
"395","11794","9505075.0","1","11793","5946"
"396","11662","9309110.0","1","11661","5847"
"397","2","1038.0","1","1","1"
"398","3","9704160.0","1","2","1"
"399","2","203033.0","1","1","1"
"400","1712","9501048.0","1","1711","798"
"401","472","9906144.0","1","471","214"
"402","1704","9506042.0","1","1703","797"
"403","43","9906169.0","1","42","24"
"404","8","9906169.0","1","7","4"
"405","2","302022.0","1","1","1"
"406","10778","9411068.0","1","10777","5394"
"407","2399","1041.0","1","2398","1097"
"408","11624","9308075.0","1","11623","5861"
"409","4862","9410191.0","1","4861","2333"
"410","2487","9411068.0","1","2486","1159"
"411","12132","9604089.0","1","12131","6138"
"412","7552","9605009.0","1","7551","3684"
"413","7288","9812012.0","1","7287","3543"
"414","7400","9511176.0","1","7399","3607"
"415","7292","9704108.0","1","7291","3554"
"416","7294","9803053.0","1","7293","3550"
"417","9607","9805156.0","1","9606","4765"
"418","7273","9808162.0","1","7272","3550"
"419","2084","9702003.0","1","2083","948"
"420","4841","9810256.0","1","4840","2324"
"421","24","9707040.0","1","23","11"
"422","2","9803238.0","1","1","1"
"423","11192","9509141.0","1","11191","5590"
"424","583","9904162.0","1","582","264"
"425","112","1042.0","1","111","57"
"426","4","9904029.0","1","3","1"
"427","14","1042.0","1","13","6"
"428","8879","9401153.0","1","8878","4425"
"429","67","9311066.0","1","66","33"
"430","8878","9401153.0","1","8877","4424"
"431","7","9812175.0","1","6","4"
"432","4304","9911116.0","1","4303","2032"
"433","12532","9206084.0","1","12531","6322"
"434","3228","9912249.0","1","3227","1514"
"435","12","5050.0","1","11","5"
"436","16","9705156.0","1","15","7"
"437","19","9602083.0","1","18","13"
"438","3438","9705156.0","1","3437","1617"
"439","21","9812245.0","1","20","13"
"440","12","1136.0","1","11","5"
"441","3","9218.0","1","2","2"
"442","654","9904202.0","1","653","296"
"443","7","9805040.0","1","6","5"
"444","7397","9405055.0","1","7396","3611"
"445","8824","9502132.0","1","8823","4387"
"446","8985","9411025.0","1","8984","4471"
"447","1361","9903030.0","1","1360","628"
"448","5","1048.0","1","4","2"
"449","4","1048.0","1","3","2"
"450","7475","9608147.0","1","7474","3643"
"451","12148","9410167.0","1","12147","6113"
"452","11067","9511043.0","1","11066","5572"
"453","11245","9602045.0","1","11244","5616"
"454","143","6228.0","1","142","59"
"455","10339","9608024.0","1","10338","5168"
"456","8299","9702093.0","1","8298","4088"
"457","7702","9803097.0","1","7701","3760"
"458","8","8104.0","1","7","5"
"459","7847","9411202.0","1","7846","3860"
"460","666","9705007.0","1","665","296"
"461","660","9705007.0","1","659","291"
"462","2","9907149.0","1","1","1"
"463","671","9606172.0","1","670","296"
"464","11279","9508143.0","1","11278","5655"
"465","12351","9211040.0","1","12350","6221"
"466","11252","9903215.0","1","11251","5637"
"467","12755","9810187.0","1","12754","6474"
"468","2","9706137.0","1","1","1"
"469","4554","1053.0","1","4553","2183"
"470","3693","1053.0","1","3692","1755"
"471","7276","1053.0","1","7275","3546"
"472","12237","9611041.0","1","12236","6195"
"473","12367","9503205.0","1","12366","6248"
"474","3164","9504127.0","1","3163","1483"
"475","11361","9610102.0","1","11360","5701"
"476","11670","9909110.0","1","11669","5872"
"477","3139","9608018.0","1","3138","1470"
"478","2203","9906013.0","1","2202","1028"
"479","7278","9905104.0","1","7277","3525"
"480","7273","9905104.0","1","7272","3522"
"481","8764","1054.0","1","8763","4337"
"482","11674","9308124.0","1","11673","5856"
"483","12743","9308124.0","1","12742","6441"
"484","11619","9308124.0","1","11618","5832"
"485","12355","9308124.0","1","12354","6233"
"486","9345","9901118.0","1","9344","4636"
"487","11277","9901118.0","1","11276","5646"
"488","9849","9601115.0","1","9848","4898"
"489","9724","9602082.0","1","9723","4816"
"490","8942","9611190.0","1","8941","4411"
"491","8948","9611190.0","1","8947","4414"
"492","8944","9611190.0","1","8943","4412"
"493","1582","3298.0","1","1581","735"
"494","11831","9501096.0","1","11830","5954"
"495","11","9407009.0","1","10","6"
"496","9055","9701014.0","1","9054","4513"
"497","8948","9906242.0","1","8947","4416"
"498","2","9609163.0","1","1","1"
"499","12048","9407114.0","1","12047","6066"
"500","9100","9407114.0","1","9099","4517"
"501","9052","9612246.0","1","9051","4507"
"502","2978","9906153.0","1","2977","1381"
"503","7","9912100.0","1","6","5"
"504","249","9903208.0","1","248","109"
"505","1985","5028.0","1","1984","926"
"506","4767","9912257.0","1","4766","2279"
"507","2664","9905064.0","1","2663","1233"
"508","615","9904040.0","1","614","277"
"509","3630","9906040.0","1","3629","1710"
"510","7429","9903045.0","1","7428","3602"
"511","7280","9909228.0","1","7279","3532"
"512","11947","1056.0","1","11946","6032"
"513","2001","9912155.0","1","2000","906"
"514","26","9604163.0","1","25","16"
"515","9795","9606033.0","1","9794","4885"
"516","9215","9612229.0","1","9214","4587"
"517","9698","9809190.0","1","9697","4830"
"518","7425","9508017.0","1","7424","3618"
"519","7428","9612117.0","1","7427","3617"
"520","28","9708124.0","1","27","10"
"521","4325","1060.0","1","4324","2068"
"522","9551","9402077.0","1","9550","4760"
"523","9565","9605039.0","1","9564","4766"
"524","7483","9605039.0","1","7482","3654"
"525","7426","9508017.0","1","7425","3618"
"526","2","107038.0","1","1","1"
"527","2121","9704202.0","1","2120","974"
"528","7379","9612117.0","1","7378","3595"
"529","7383","9511046.0","1","7382","3601"
"530","5","1061.0","1","4","3"
"531","11633","9810187.0","1","11632","5840"
"532","11624","9405002.0","1","11623","5829"
"533","1751","1063.0","1","1750","809"
"534","936","1064.0","1","935","420"
"535","9084","9303136.0","1","9083","4528"
"536","8894","9603012.0","1","8893","4426"
"537","107","9509133.0","1","106","57"
"538","729","9403143.0","1","728","329"
"539","2","9610158.0","1","1","1"
"540","8677","9806069.0","1","8676","4309"
"541","7297","9806069.0","1","7296","3563"
"542","7273","9902131.0","1","7272","3542"
"543","9564","9701091.0","1","9563","4764"
"544","2688","1066.0","1","2687","1276"
"545","11252","9602167.0","1","11251","5671"
"546","11498","9704011.0","1","11497","5779"
"547","3160","9712174.0","1","3159","1502"
"548","9978","9307166.0","1","9977","4981"
"549","79","1067.0","1","78","41"
"550","2","9605171.0","1","1","1"
"551","9","1067.0","1","8","3"
"552","2","9601155.0","1","1","1"
"553","7339","9801148.0","1","7338","3567"
"554","42","9505117.0","1","41","21"
"555","130","9510108.0","1","129","52"
"556","40","9601141.0","1","39","18"
"557","46","9608180.0","1","45","22"
"558","37","9608180.0","1","36","16"
"559","5","9310131.0","1","4","3"
"560","6","9808144.0","1","5","4"
"561","36","4032.0","1","35","17"
"562","105","9603149.0","1","104","41"
"563","2","9611069.0","1","1","1"
"564","1206","1068.0","1","1205","553"
"565","9489","9608177.0","1","9488","4721"
"566","7326","9804010.0","1","7325","3573"
"567","1184","1124.0","1","1183","549"
"568","9367","9711055.0","1","9366","4652"
"569","2812","9809190.0","1","2811","1315"
"570","7311","9811232.0","1","7310","3545"
"571","2762","9812051.0","1","2761","1294"
"572","28","1070.0","1","27","18"
"573","19","9711016.0","1","18","11"
"574","30","9702097.0","1","29","18"
"575","24","9604163.0","1","23","15"
"576","3135","9902064.0","1","3134","1484"
"577","14","7188.0","1","13","10"
"578","2","9806208.0","1","1","1"
"579","641","2008.0","1","640","290"
"580","9550","9605192.0","1","9549","4767"
"581","268","1074.0","1","267","117"
"582","954","9903068.0","1","953","434"
"583","9447","9411051.0","1","9446","4667"
"584","9879","9505039.0","1","9878","4922"
"585","7429","1076.0","1","7428","3630"
"586","611","1076.0","1","610","280"
"587","9046","9409098.0","1","9045","4504"
"588","9183","9703030.0","1","9182","4578"
"589","8445","9411210.0","1","8444","4150"
"590","7925","9501075.0","1","7924","3882"
"591","7280","9809095.0","1","7279","3541"
"592","1232","9903246.0","1","1231","567"
"593","9047","9404175.0","1","9046","4505"
"594","2805","1077.0","1","2804","1311"
"595","2146","9711059.0","1","2145","971"
"596","9915","9510041.0","1","9914","4923"
"597","7333","9505194.0","1","7332","3558"
"598","7331","9707160.0","1","7330","3558"
"599","5","9807037.0","1","4","2"
"600","9729","9602045.0","1","9728","4830"
"601","4305","9811193.0","1","4304","2040"
"602","3319","5067.0","1","3318","1551"
"603","3273","9911081.0","1","3272","1537"
"604","2","9703164.0","1","1","1"
"605","3","1080.0","1","2","2"
"606","12035","9506126.0","1","12034","6055"
"607","4","9506086.0","1","3","3"
"608","12118","9512061.0","1","12117","6125"
"609","12605","9305143.0","1","12604","6371"
"610","11223","9401126.0","1","11222","5645"
"611","9342","9310046.0","1","9341","4657"
"612","9331","9309115.0","1","9330","4643"
"613","11430","9401070.0","1","11429","5756"
"614","10759","9503016.0","1","10758","5378"
"615","11360","9407001.0","1","11359","5715"
"616","1611","9705209.0","1","1610","741"
"617","7612","9908150.0","1","7611","3708"
"618","587","9910074.0","1","586","265"
"619","10","9905083.0","1","9","7"
"620","70","9502031.0","1","69","39"
"621","69","9502031.0","1","68","38"
"622","66","9510201.0","1","65","36"
"623","39","9601124.0","1","38","19"
"624","3436","9705241.0","1","3435","1621"
"625","1020","9809210.0","1","1019","474"
"626","51","9809210.0","1","50","24"
"627","12239","9603090.0","1","12238","6173"
"628","3","8006.0","1","2","2"
"629","3","109139.0","1","2","2"
"630","720","9802074.0","1","719","330"
"631","8709","9706089.0","1","8708","4329"
"632","3862","9806040.0","1","3861","1830"
"633","12200","1131.0","1","12199","6161"
"634","2386","2227.0","1","2385","1121"
"635","11711","9402073.0","1","11710","5870"
"636","12352","9402073.0","1","12351","6222"
"637","12310","9402032.0","1","12309","6207"
"638","7922","9709058.0","1","7921","3868"
"639","8108","9803088.0","1","8107","3999"
"640","2766","9912121.0","1","2765","1299"
"641","439","5209.0","1","438","201"
"642","11342","9506121.0","1","11341","5722"
"643","14","9911191.0","1","13","6"
"644","11842","9403137.0","1","11841","5959"
"645","9","1087.0","1","8","4"
"646","11","9907217.0","1","10","4"
"647","209","103229.0","1","208","85"
"648","11307","9711161.0","1","11306","5683"
"649","7364","9712115.0","1","7363","3602"
"650","1518","9508036.0","1","1517","710"
"651","1180","2009.0","1","1179","547"
"652","1183","9511047.0","1","1182","549"
"653","1799","9903166.0","1","1798","836"
"654","1167","9903166.0","1","1166","544"
"655","1171","9801022.0","1","1170","545"
"656","1168","9903166.0","1","1167","545"
"657","7","9904184.0","1","6","4"
"658","12915","9206070.0","1","12914","6561"
"659","12883","9209012.0","1","12882","6542"
"660","12002","9209012.0","1","12001","6059"
"661","12855","9306069.0","1","12854","6530"
"662","12430","9311005.0","1","12429","6263"
"663","2","9410171.0","1","1","1"
"664","10831","9503016.0","1","10830","5416"
"665","10826","9407001.0","1","10825","5421"
"666","11962","9901119.0","1","11961","6038"
"667","12845","9502084.0","1","12844","6524"
"668","11428","9502084.0","1","11427","5748"
"669","12827","9502084.0","1","12826","6489"
"670","12854","9502084.0","1","12853","6526"
"671","12688","5063.0","1","12687","6427"
"672","12759","9501045.0","1","12758","6461"
"673","12742","9502084.0","1","12741","6461"
"674","8404","9912098.0","1","8403","4173"
"675","11353","9501045.0","1","11352","5708"
"676","12677","9603044.0","1","12676","6406"
"677","10727","9506206.0","1","10726","5366"
"678","3063","9503079.0","1","3062","1445"
"679","1286","9503079.0","1","1285","613"
"680","1329","9503079.0","1","1328","638"
"681","518","9503079.0","1","517","228"
"682","1174","9503079.0","1","1173","561"
"683","96","9503079.0","1","95","45"
"684","9","9909042.0","1","8","5"
"685","8764","9806083.0","1","8763","4354"
"686","1673","1209.0","1","1672","766"
"687","11572","9503030.0","1","11571","5816"
"688","11334","9503030.0","1","11333","5692"
"689","11359","9503030.0","1","11358","5706"
"690","9679","9711178.0","1","9678","4799"
"691","9699","9602045.0","1","9698","4815"
"692","9663","9602045.0","1","9662","4795"
"693","9697","9602045.0","1","9696","4814"
"694","11402","9611214.0","1","11401","5737"
