"nodes","citations","no of papers it cite"
"9811201.0","11","16"
"9810244.0","10","16"
"9904198.0","8","12"
"9708065.0","11","19"
"2205.0","3","24"
"9508107.0","10","13"
"2240.0","4","9"
"9511204.0","11","6"
"9711090.0","12","9"
"9410184.0","2","4"
"9604043.0","1","24"
"9801022.0","5","6"
"9706025.0","14","47"
"7075.0","8","34"
"10207.0","8","12"
"11059.0","1","18"
"12131.0","4","36"
"9702030.0","3","8"
"109055.0","1","25"
"9509049.0","2","7"
"112005.0","3","26"
"9404092.0","16","7"
"206012.0","1","3"
"206220.0","5","3"
"209161.0","1","16"
"9712011.0","3","20"
"9407005.0","3","9"
"212263.0","0","11"
"9402148.0","5","8"
"9409124.0","1","4"
"9501111.0","8","3"
"9506168.0","0","2"
"9506171.0","2","40"
"9612067.0","0","10"
"9709209.0","2","17"
"9804066.0","2","4"
"9311042.0","20","2"
"9511171.0","21","22"
"9905036.0","5","18"
"9507012.0","64","5"
"9906242.0","40","41"
"9704151.0","71","9"
"9712223.0","13","24"
"9808192.0","2","26"
"12041.0","29","15"
"102133.0","0","7"
"104254.0","4","19"
"9401139.0","194","1"
"9503124.0","498","3"
"9712028.0","65","19"
"9704157.0","9","7"
"9502072.0","73","7"
"9609017.0","50","17"
"9508143.0","160","15"
"9405002.0","9","8"
"9703164.0","0","4"
"9410167.0","346","20"
"9903113.0","9","12"
"9910115.0","3","15"
"9411242.0","11","5"
"9510092.0","3","8"
"9603015.0","3","6"
"9709071.0","2","31"
"9905078.0","6","16"
"9607201.0","117","55"
"9910053.0","166","57"
"9604103.0","20","23"
"9504081.0","88","11"
"9510182.0","80","61"
"9506126.0","70","38"
"9604196.0","17","6"
"9602140.0","21","9"
"9801132.0","10","56"
"2052.0","1","12"
"9907175.0","1","9"
"9810099.0","26","25"
"9602084.0","4","4"
"9812037.0","5","24"
"9611184.0","13","58"
"2133.0","0","9"
"9907132.0","5","6"
"9907202.0","20","15"
"9410237.0","42","10"
"9708089.0","8","16"
"9406178.0","7","4"
"9904064.0","4","14"
"9612254.0","7","1"
"9706210.0","5","22"
"9508021.0","12","11"
"9901045.0","12","13"
"9909049.0","4","25"
"9612120.0","12","14"
"9810159.0","4","28"
"9503045.0","19","15"
"9511024.0","8","10"
"9512040.0","16","24"
"9512124.0","10","18"
"9411028.0","32","3"
"9503078.0","9","7"
"9506076.0","7","4"
"4078.0","3","8"
"9811006.0","3","14"
"9608093.0","3","11"
"4159.0","1","20"
"9510023.0","17","14"
"9504006.0","66","23"
"9404063.0","21","30"
"9505052.0","20","45"
"9601171.0","5","12"
"9609152.0","5","10"
"9905004.0","5","25"
"9805180.0","6","13"
"9704125.0","5","10"
"5113.0","2","16"
"9911200.0","3","18"
"9502038.0","14","9"
"5227.0","0","2"
"6019.0","1","22"
"9703160.0","7","7"
"9504034.0","53","7"
"7026.0","0","9"
"9404184.0","7","3"
"9811098.0","2","20"
"9509148.0","27","18"
"9084.0","3","12"
"9604013.0","8","20"
"9509123.0","17","26"
"10201.0","10","2"
"11032.0","0","33"
"9504148.0","14","19"
"9504032.0","1","6"
"12124.0","0","14"
"12188.0","2","13"
"9707099.0","12","33"
"9411198.0","13","13"
"9507112.0","17","5"
"9510028.0","5","11"
"9705058.0","5","31"
"9704178.0","1","11"
"9408060.0","6","8"
"104089.0","1","17"
"9409072.0","0","5"
"9811019.0","2","70"
"9506156.0","10","22"
"9410142.0","5","8"
"9411195.0","3","18"
"9610008.0","2","1"
"9607051.0","8","26"
"9507113.0","20","21"
"9506137.0","7","9"
"9508159.0","6","8"
"9503057.0","19","29"
"9506192.0","1","9"
"9506205.0","3","7"
"9911203.0","0","18"
"9804065.0","3","16"
"9803239.0","9","10"
"9507005.0","6","15"
"9702039.0","2","3"
"110019.0","0","17"
"9512126.0","3","15"
"9602059.0","2","1"
"9904033.0","2","23"
"110067.0","1","9"
"9801090.0","5","15"
"111158.0","1","9"
"9407198.0","2","4"
"9407099.0","8","30"
"9403191.0","13","11"
"202181.0","0","5"
"203144.0","0","13"
"9709017.0","1","33"
"9602145.0","2","17"
"9511178.0","0","22"
"204094.0","0","7"
"204145.0","8","12"
"205134.0","15","37"
"205189.0","0","2"
"206092.0","0","8"
"9703009.0","6","21"
"207142.0","1","26"
"207276.0","0","4"
"208126.0","8","11"
"210012.0","0","22"
"210209.0","5","21"
"9502065.0","12","22"
"9510034.0","4","15"
"212088.0","0","2"
"9503038.0","0","8"
"9712057.0","1","9"
"303173.0","0","21"
"304206.0","1","25"
"9405120.0","2","3"
"9406150.0","2","3"
"9406189.0","2","5"
"9409095.0","0","14"
"9411022.0","1","6"
"9412079.0","4","4"
"9502057.0","13","13"
"9502119.0","3","6"
"9503022.0","3","5"
"9503143.0","2","5"
"9504161.0","0","20"
"9505147.0","1","5"
"9506213.0","1","12"
"9507063.0","2","21"
"9508058.0","17","29"
"9508095.0","0","9"
"9509106.0","6","62"
"9509145.0","3","20"
"9510079.0","4","22"
"9510098.0","9","12"
"9510103.0","2","12"
"9512123.0","1","7"
"9601130.0","0","6"
"9601164.0","4","4"
"9603085.0","1","8"
"9603110.0","0","9"
"9605023.0","1","27"
"9605070.0","0","13"
"9605118.0","4","7"
"9606042.0","0","8"
"9606077.0","8","8"
"9608023.0","1","14"
"9610032.0","0","11"
"9702132.0","0","6"
"9702193.0","0","4"
"9703064.0","0","2"
"9706165.0","3","10"
"9707205.0","2","24"
"9708142.0","0","7"
"9708153.0","1","18"
"9709129.0","2","20"
"9712136.0","0","6"
"9805211.0","0","2"
"9807057.0","0","7"
"9812235.0","2","10"
"9903268.0","0","19"
"9908199.0","0","58"
"9404151.0","36","2"
"9505162.0","87","25"
"9508094.0","35","29"
"9510142.0","17","28"
"9802194.0","11","22"
"9806094.0","12","16"
"9910248.0","4","19"
"9504027.0","64","13"
"9810210.0","24","23"
"9605131.0","26","16"
"9703136.0","9","27"
"9810064.0","4","7"
"9910207.0","1","36"
"9509070.0","8","24"
"9702180.0","37","11"
"9909219.0","1","27"
"9508144.0","11","9"
"9512226.0","4","34"
"9507168.0","13","15"
"9512152.0","4","23"
"9609082.0","3","12"
"9711114.0","0","12"
"9407087.0","593","3"
"9408099.0","473","5"
"9501030.0","55","26"
"9506112.0","87","10"
"9506144.0","36","15"
"9511030.0","156","14"
"9607163.0","90","7"
"9607207.0","64","7"
"9703166.0","208","7"
"9603136.0","61","15"
"9505186.0","35","3"
"9801102.0","1","6"
"9411048.0","144","1"
"9411149.0","191","7"
"9503179.0","70","13"
"9505006.0","45","7"
"9505062.0","86","11"
"9505075.0","95","12"
"9505100.0","82","6"
"9505150.0","79","13"
"9608129.0","16","7"
"9709062.0","35","9"
"9608047.0","13","4"
"9411057.0","123","2"
"9604034.0","107","37"
"9611190.0","47","118"
"9807096.0","11","33"
"9602167.0","31","11"
"9712103.0","10","9"
"9810239.0","13","15"
"9811232.0","31","18"
"9906103.0","6","13"
"9706109.0","103","23"
"9408083.0","29","10"
"9501020.0","29","17"
"9711107.0","29","14"
"9503030.0","54","14"
"1098.0","2","16"
"9505035.0","103","11"
"9510101.0","104","14"
"9510204.0","53","14"
"9612231.0","14","12"
"9706089.0","44","8"
"9905015.0","16","11"
"9905221.0","33","2"
"9904196.0","2","10"
"9601115.0","35","4"
"9608084.0","5","11"
"9901103.0","2","18"
"1142.0","0","33"
"9507008.0","56","9"
"9509176.0","47","16"
"9605096.0","28","5"
"9610204.0","13","10"
"9703147.0","24","4"
"9704214.0","24","7"
"9706007.0","10","12"
"9706013.0","12","2"
"9706079.0","12","13"
"9706099.0","15","11"
"9803154.0","3","9"
"9803176.0","14","10"
"9807059.0","3","5"
"9902188.0","3","7"
"9906145.0","0","10"
"9411102.0","55","3"
"9603004.0","21","5"
"9903088.0","4","48"
"9906235.0","12","13"
"9707185.0","14","4"
"9503163.0","68","6"
"9604004.0","34","21"
"9606191.0","20","25"
"9901006.0","10","13"
"9906243.0","8","10"
"1219.0","0","12"
"9509066.0","106","38"
"9603206.0","15","12"
"9801146.0","10","18"
"9803146.0","5","16"
"9512053.0","23","6"
"9708130.0","12","10"
"9602082.0","32","7"
"9606192.0","2","7"
"9508153.0","10","2"
"9606109.0","7","3"
"9911161.0","65","32"
"9511104.0","34","10"
"9908085.0","2","23"
"9608109.0","20","5"
"9610251.0","28","31"
"9707158.0","23","27"
"9510207.0","5","9"
"9709180.0","15","17"
"3272.0","4","10"
"9506102.0","70","5"
"9901038.0","2","1"
"9605032.0","39","14"
"9704170.0","44","24"
"9712005.0","8","70"
"9804160.0","22","29"
"9811087.0","2","18"
"9812021.0","3","11"
"9912082.0","8","19"
"9802033.0","17","20"
"9911096.0","51","17"
"9512046.0","13","15"
"9701069.0","40","4"
"9508064.0","25","41"
"9703110.0","34","21"
"9705122.0","15","10"
"9703210.0","56","19"
"9803030.0","4","7"
"9811231.0","3","6"
"9812004.0","1","1"
"9807188.0","1","14"
"9802074.0","20","3"
"9810035.0","12","5"
"9801083.0","3","12"
"9804208.0","17","28"
"9507036.0","8","8"
"9507040.0","8","8"
"9812175.0","4","15"
"9906154.0","2","9"
"9504150.0","22","11"
"9708061.0","3","1"
"9611123.0","10","4"
"9810013.0","3","4"
"9611222.0","21","20"
"9708044.0","15","46"
"9901032.0","13","26"
"9910250.0","1","12"
"3142.0","6","6"
"9602060.0","10","13"
"9603191.0","6","9"
"9710248.0","8","21"
"9808169.0","11","24"
"9504129.0","17","21"
"9508089.0","24","3"
"9601007.0","35","8"
"9601168.0","20","15"
"9611209.0","13","17"
"9508002.0","15","11"
"9510129.0","39","17"
"9511228.0","5","24"
"9609021.0","9","5"
"9703072.0","18","27"
"9707017.0","17","16"
"9503105.0","10","9"
"9604041.0","36","23"
"3225.0","1","4"
"3245.0","0","16"
"9806009.0","5","24"
"9904116.0","7","7"
"4009.0","5","24"
"9805096.0","34","19"
"9605229.0","20","10"
"4068.0","11","12"
"9509132.0","36","28"
"9509130.0","9","16"
"9607151.0","9","16"
"9706145.0","13","10"
"9909073.0","3","12"
"9911112.0","1","12"
"9704104.0","48","44"
"9703194.0","5","13"
"9904045.0","7","12"
"9911242.0","5","17"
"9811195.0","13","7"
"9812069.0","3","2"
"9607076.0","25","14"
"9706217.0","20","8"
"9603086.0","26","12"
"9709010.0","8","27"
"9909118.0","3","8"
"9710212.0","6","20"
"5049.0","13","37"
"9610157.0","9","42"
"9812049.0","2","11"
"9503086.0","39","6"
"9505004.0","47","8"
"9509175.0","71","16"
"9605178.0","8","3"
"9705069.0","8","11"
"9911097.0","1","11"
"9608039.0","15","13"
"9511053.0","32","35"
"9907119.0","1","7"
"9709146.0","10","19"
"9702166.0","14","10"
"5130.0","0","18"
"9604063.0","6","4"
"9508156.0","23","6"
"9903256.0","1","4"
"9702047.0","3","6"
"9802168.0","22","14"
"9704163.0","1","4"
"9702012.0","8","14"
"9503201.0","8","5"
"9504010.0","12","14"
"9508162.0","5","8"
"9702106.0","8","17"
"9907123.0","6","45"
"9506181.0","21","5"
"5275.0","3","23"
"9508117.0","17","2"
"9610142.0","4","11"
"9705041.0","3","14"
"9612021.0","8","7"
"9906174.0","2","6"
"9706131.0","4","23"
"6028.0","10","18"
"9504120.0","11","3"
"9510138.0","6","5"
"9605101.0","22","11"
"9611106.0","6","15"
"9710123.0","16","10"
"9711032.0","11","8"
"6050.0","2","7"
"6051.0","4","6"
"6086.0","1","13"
"9903207.0","5","30"
"11227.0","1","18"
"9711108.0","28","18"
"9801061.0","15","12"
"9904087.0","10","33"
"9607066.0","28","3"
"9608060.0","24","23"
"9609104.0","15","21"
"9701055.0","21","32"
"9708118.0","38","13"
"9803014.0","3","15"
"9901124.0","7","10"
"9910015.0","3","12"
"9507169.0","20","7"
"6198.0","1","5"
"9601044.0","3","6"
"9905069.0","4","5"
"9905194.0","2","4"
"9503106.0","10","1"
"9512173.0","9","18"
"9512129.0","25","44"
"6244.0","0","17"
"9611120.0","2","15"
"9506160.0","38","8"
"9711145.0","8","11"
"9707095.0","1","9"
"9504047.0","68","21"
"9712046.0","21","10"
"7133.0","1","17"
"7143.0","3","3"
"9908129.0","1","22"
"9512043.0","5","26"
"9506145.0","1","2"
"7240.0","1","32"
"9502013.0","8","8"
"9506084.0","8","10"
"9602031.0","14","11"
"9605113.0","15","16"
"9605232.0","9","16"
"9704198.0","16","25"
"9706023.0","5","24"
"9508124.0","4","8"
"8076.0","29","15"
"9610016.0","4","9"
"8100.0","0","12"
"9804114.0","4","5"
"9509052.0","7","16"
"9602157.0","5","2"
"9705076.0","2","4"
"9804068.0","7","11"
"9902150.0","2","16"
"9909193.0","2","16"
"9507135.0","20","2"
"8169.0","0","27"
"8196.0","0","14"
"9043.0","2","4"
"9806015.0","3","24"
"9903029.0","9","29"
"9206.0","0","10"
"9501075.0","12","25"
"9712137.0","3","8"
"9712062.0","15","3"
"10079.0","2","1"
"9711132.0","5","20"
"9806032.0","3","10"
"9509160.0","16","14"
"10222.0","3","23"
"9711095.0","1","3"
"9512005.0","17","14"
"9606043.0","19","10"
"10241.0","2","18"
"10246.0","0","2"
"11081.0","0","10"
"9904119.0","1","8"
"11093.0","1","35"
"9710146.0","10","20"
"9605135.0","4","10"
"9611152.0","1","17"
"9803126.0","12","19"
"9707133.0","17","2"
"9906029.0","2","22"
"9712025.0","3","15"
"9712218.0","1","10"
"9709192.0","7","30"
"12005.0","0","3"
"12079.0","4","33"
"9601059.0","14","13"
"9710112.0","9","7"
"9710161.0","5","3"
"9708168.0","10","47"
"12250.0","10","8"
"12261.0","0","2"
"12265.0","0","36"
"9803026.0","8","8"
"101013.0","12","30"
"9511014.0","4","7"
"9604021.0","5","2"
"101055.0","5","2"
"101056.0","1","13"
"9610226.0","9","6"
"101114.0","5","23"
"9701185.0","9","13"
"9708068.0","18","8"
"9906053.0","1","4"
"9507140.0","12","14"
"102006.0","2","11"
"102007.0","14","23"
"9711143.0","19","48"
"102041.0","6","23"
"9609101.0","10","4"
"9909158.0","0","2"
"102150.0","0","9"
"102169.0","0","6"
"103086.0","2","20"
"9911037.0","0","24"
"9412200.0","12","5"
"103157.0","0","6"
"9609066.0","10","13"
"9609130.0","5","14"
"9904214.0","1","13"
"103174.0","0","9"
"103181.0","1","26"
"9601011.0","7","12"
"9811025.0","5","17"
"103209.0","8","21"
"9509086.0","3","2"
"9711166.0","5","7"
"104037.0","24","29"
"9505088.0","21","6"
"9708127.0","9","44"
"9712172.0","5","28"
"9511037.0","4","19"
"9612221.0","4","9"
"9705027.0","4","11"
"9811198.0","3","9"
"9604051.0","16","7"
"9604059.0","17","8"
"9609062.0","14","33"
"9506063.0","0","8"
"9506148.0","31","14"
"106061.0","4","38"
"9507003.0","3","7"
"106117.0","21","27"
"9511048.0","0","8"
"106183.0","0","4"
"106192.0","7","14"
"106246.0","0","16"
"107016.0","1","14"
"9706095.0","3","8"
"9505051.0","23","8"
"9505067.0","17","16"
"9507018.0","22","14"
"9510148.0","22","17"
"9510228.0","17","21"
"9611088.0","6","15"
"9711157.0","4","31"
"9801173.0","5","32"
"9808125.0","2","9"
"9506037.0","8","21"
"9512165.0","3","3"
"9506002.0","9","9"
"9712029.0","5","17"
"108199.0","0","12"
"108221.0","5","18"
"108231.0","0","24"
"109027.0","0","2"
"109119.0","1","4"
"109141.0","1","6"
"9705152.0","3","7"
"109175.0","7","14"
"9504113.0","14","16"
"9607058.0","8","7"
"9610205.0","9","25"
"9506077.0","19","8"
"110104.0","0","7"
"110115.0","10","33"
"9704027.0","4","9"
"9505183.0","14","14"
"110188.0","3","31"
"9703098.0","7","23"
"9710001.0","11","11"
"9804061.0","4","17"
"9902162.0","1","19"
"110263.0","1","20"
"9610213.0","3","1"
"201006.0","0","5"
"9511102.0","2","1"
"202047.0","2","4"
"202053.0","0","12"
"202197.0","3","11"
"204050.0","0","14"
"204127.0","0","22"
"9408036.0","30","2"
"9601027.0","2","5"
"9712040.0","8","4"
"9811128.0","4","20"
"205060.0","0","19"
"9801104.0","5","8"
"9811036.0","1","12"
"205201.0","0","15"
"206017.0","25","8"
"206063.0","8","78"
"206072.0","0","35"
"9505123.0","4","17"
"207106.0","39","27"
"207151.0","0","14"
"207153.0","0","12"
"207161.0","1","17"
"207271.0","0","5"
"208022.0","0","16"
"208070.0","0","4"
"208095.0","2","14"
"208176.0","3","8"
"209130.0","0","11"
"209162.0","0","8"
"209266.0","0","8"
"209267.0","0","7"
"9508043.0","4","13"
"210135.0","25","12"
"210208.0","0","5"
"211170.0","32","14"
"211016.0","0","8"
"211050.0","0","10"
"211069.0","19","18"
"211146.0","0","15"
"211216.0","15","21"
"9505023.0","15","13"
"9511052.0","19","6"
"9710085.0","4","20"
"212018.0","0","13"
"9612240.0","5","14"
"212082.0","5","26"
"301006.0","12","16"
"301126.0","0","5"
"301230.0","0","2"
"9603158.0","18","10"
"303033.0","1","34"
"9804108.0","0","6"
"9611118.0","3","3"
"9712150.0","2","44"
"304271.0","0","31"
"9410099.0","1","1"
"9411183.0","0","5"
"9502085.0","0","1"
"9502137.0","4","4"
"9503033.0","2","11"
"9503039.0","0","1"
"9503049.0","0","4"
"9503122.0","0","1"
"9504146.0","1","3"
"9505135.0","5","7"
"9506024.0","6","7"
"9506034.0","0","2"
"9507064.0","2","10"
"9507120.0","0","1"
"9508140.0","3","5"
"9508163.0","5","8"
"9510186.0","3","8"
"9511017.0","0","20"
"9511019.0","0","7"
"9511086.0","0","4"
"9511213.0","4","24"
"9512021.0","2","3"
"9512060.0","2","23"
"9512063.0","1","17"
"9512085.0","1","8"
"9512149.0","0","8"
"9512192.0","0","8"
"9601016.0","1","6"
"9601145.0","0","6"
"9603134.0","2","8"
"9606111.0","3","7"
"9608106.0","3","9"
"9608112.0","0","3"
"9608135.0","14","4"
"9608185.0","1","15"
"9608191.0","2","7"
"9610065.0","2","9"
"9610233.0","0","1"
"9611012.0","1","3"
"9611234.0","0","1"
"9612073.0","5","12"
"9612123.0","0","3"
"9701129.0","3","18"
"9704066.0","0","6"
"9704187.0","0","5"
"9704205.0","6","26"
"9705173.0","2","28"
"9706222.0","0","5"
"9707140.0","0","3"
"9707226.0","0","6"
"9708149.0","2","8"
"9708164.0","0","52"
"9709081.0","4","13"
"9709218.0","0","1"
"9711076.0","0","5"
"9712054.0","3","12"
"9712152.0","0","10"
"9712167.0","1","16"
"9712192.0","0","2"
"9801016.0","0","5"
"9801149.0","3","20"
"9802002.0","0","2"
"9802155.0","0","12"
"9802156.0","0","3"
"9803225.0","1","17"
"9804038.0","4","33"
"9805107.0","0","24"
"9806079.0","0","8"
"9806204.0","3","11"
"9806229.0","0","7"
"9808134.0","0","32"
"9809008.0","0","6"
"9811086.0","0","1"
"9901161.0","1","34"
"9903177.0","0","4"
"9904066.0","0","9"
"9906082.0","0","5"
"9908049.0","0","43"
"9608086.0","12","4"
"9609239.0","71","17"
"9909229.0","7","23"
"9612128.0","81","2"
"9605150.0","99","17"
"9608111.0","57","17"
"1036.0","5","10"
"9511154.0","41","2"
"9603042.0","48","11"
"9803194.0","60","42"
"1051.0","1","6"
"9610076.0","9","6"
"9611063.0","28","14"
"9901150.0","2","15"
"9506207.0","10","14"
"9810152.0","16","14"
"9905173.0","3","24"
"9503079.0","6","13"
"1103.0","14","23"
"9509161.0","91","4"
"9906011.0","21","9"
"9612062.0","20","8"
"9705057.0","37","8"
"9706078.0","18","5"
"9812024.0","2","8"
"9603140.0","23","23"
"9701123.0","32","26"
"9706050.0","16","31"
"1184.0","12","9"
"9510222.0","41","18"
"9702061.0","11","24"
"9810067.0","3","4"
"9905198.0","1","2"
"9902209.0","2","5"
"9706082.0","42","24"
"9906125.0","3","10"
"9805045.0","5","23"
"9503115.0","58","2"
"9801205.0","24","25"
"9803142.0","19","41"
"9802189.0","8","8"
"9811199.0","1","4"
"9803054.0","17","22"
"9706132.0","13","9"
"9602005.0","15","16"
"9701158.0","5","1"
"9910222.0","6","23"
"9506098.0","19","4"
"9603051.0","13","11"
"9701009.0","10","19"
"9707120.0","20","21"
"9902030.0","4","26"
"9705199.0","44","23"
"9808087.0","2","8"
"9801024.0","19","6"
"4186.0","5","15"
"9602073.0","31","9"
"9608054.0","27","30"
"9801036.0","6","30"
"9608005.0","19","10"
"9612195.0","6","12"
"9803086.0","20","25"
"5076.0","7","21"
"9507032.0","32","4"
"9801027.0","3","8"
"9703145.0","5","8"
"9412158.0","20","2"
"9701150.0","3","5"
"9812227.0","3","22"
"6048.0","11","16"
"9511126.0","45","12"
"6140.0","2","17"
"9912133.0","4","42"
"6141.0","2","42"
"9603073.0","17","16"
"9609041.0","33","17"
"9704174.0","11","36"
"9804105.0","8","36"
"9804151.0","10","30"
"9904078.0","6","42"
"9908143.0","3","7"
"9911022.0","1","59"
"9803042.0","0","8"
"9803123.0","7","9"
"9611186.0","11","11"
"9507170.0","12","5"
"9705237.0","10","15"
"9602021.0","7","4"
"9060.0","3","19"
"9701154.0","10","15"
"106176.0","6","13"
"9609059.0","18","17"
"9507060.0","8","12"
"10243.0","0","9"
"9804069.0","10","8"
"9902161.0","5","18"
"11222.0","0","12"
"9606157.0","3","4"
"9701012.0","5","8"
"9706087.0","19","20"
"9707251.0","16","5"
"9708122.0","10","28"
"9910125.0","1","16"
"9607125.0","6","8"
"102125.0","2","21"
"103222.0","4","17"
"9610049.0","7","26"
"106175.0","4","13"
"106193.0","8","11"
"107072.0","0","12"
"107096.0","4","8"
"9603034.0","7","17"
"9701045.0","6","28"
"9803139.0","4","10"
"9704067.0","8","18"
"9502126.0","7","6"
"110240.0","3","8"
"112145.0","2","40"
"202002.0","2","18"
"202172.0","3","15"
"203025.0","2","13"
"9705167.0","1","2"
"203270.0","0","6"
"9806234.0","1","5"
"9806246.0","2","4"
"9503184.0","6","1"
"205034.0","1","22"
"205202.0","0","19"
"9706076.0","4","16"
"206054.0","1","3"
"208222.0","2","12"
"9906033.0","3","21"
"9512140.0","2","10"
"9603082.0","3","8"
"9712235.0","1","3"
"211086.0","0","7"
"9804007.0","1","11"
"211123.0","21","37"
"211213.0","1","13"
"211282.0","0","7"
"301105.0","0","31"
"9705025.0","2","13"
"9510045.0","1","3"
"9510236.0","0","1"
"9604101.0","1","8"
"9606146.0","3","14"
"9607159.0","6","14"
"9607223.0","2","13"
"9611076.0","0","8"
"9703180.0","10","35"
"9707071.0","1","22"
"9708073.0","2","21"
"9709139.0","5","14"
"9801032.0","1","6"
"9807095.0","0","9"
"9808022.0","1","14"
"9506048.0","24","7"
"9511043.0","107","11"
"9512145.0","15","15"
"9705226.0","16","6"
"9803131.0","233","51"
"9603081.0","66","11"
"9707093.0","52","18"
"9601036.0","66","21"
"9609176.0","31","42"
"9507090.0","60","16"
"9507160.0","29","24"
"9508091.0","29","17"
"9512181.0","40","29"
"9508177.0","32","7"
"9602097.0","19","16"
"9506057.0","21","9"
"9506194.0","46","13"
"9504095.0","17","13"
"9507027.0","19","12"
"9506086.0","0","13"
"9508046.0","2","4"
"9512203.0","11","31"
"9506065.0","3","34"
"9508132.0","1","26"
"9601067.0","2","16"
"9602153.0","0","23"
"9603118.0","0","18"
"9604068.0","6","22"
"9505054.0","29","2"
"9507050.0","71","8"
"9602022.0","257","21"
"9602114.0","128","11"
"9605184.0","76","18"
"9606017.0","51","6"
"9705220.0","17","25"
"9707014.0","4","15"
"9707042.0","23","12"
"9805206.0","6","17"
"9908007.0","5","15"
"9908144.0","30","35"
"9910238.0","4","21"
"9910268.0","2","19"
"9510135.0","363","8"
"9710231.0","68","58"
"9805069.0","25","11"
"9907211.0","22","14"
"9510017.0","546","5"
"9705193.0","13","13"
"9802085.0","28","19"
"9910055.0","11","17"
"1029.0","3","8"
"9510209.0","358","18"
"9602052.0","197","37"
"9611007.0","11","4"
"9711098.0","12","15"
"9510106.0","23","9"
"9511222.0","127","15"
"9607229.0","26","15"
"9908126.0","9","26"
"9901014.0","26","17"
"9905006.0","41","34"
"9507121.0","142","13"
"9604055.0","59","26"
"9710065.0","26","16"
"9712049.0","9","35"
"9801147.0","28","10"
"9702133.0","38","16"
"9703030.0","166","14"
"9606169.0","63","15"
"9701137.0","63","18"
"9703059.0","25","15"
"9704177.0","39","12"
"9707160.0","24","14"
"9605053.0","45","5"
"9606122.0","49","18"
"9908088.0","30","14"
"1083.0","6","5"
"9508154.0","55","9"
"9510173.0","17","4"
"9512081.0","31","11"
"9611205.0","15","12"
"9704145.0","40","13"
"9707126.0","28","27"
"9708062.0","22","41"
"9710078.0","15","17"
"9804123.0","15","30"
"9901020.0","7","30"
"9902055.0","15","23"
"9903010.0","4","15"
"9906018.0","9","80"
"9910144.0","5","21"
"9512059.0","153","22"
"9603133.0","64","12"
"9606036.0","20","9"
"9906039.0","19","48"
"9611203.0","48","12"
"9701165.0","36","26"
"9707123.0","33","23"
"9511080.0","55","7"
"9712130.0","26","17"
"9812224.0","12","22"
"9704165.0","10","17"
"9805209.0","3","17"
"9811101.0","8","27"
"9605136.0","50","10"
"9611204.0","15","19"
"9512077.0","179","11"
"9601003.0","75","13"
"9601150.0","93","10"
"9711201.0","25","26"
"9512062.0","160","17"
"9910164.0","4","11"
"9712115.0","20","46"
"9705162.0","46","26"
"9912030.0","3","16"
"9702101.0","36","8"
"9704098.0","36","10"
"9705046.0","60","10"
"9708119.0","32","7"
"9707241.0","9","8"
"9707019.0","8","37"
"9605200.0","61","21"
"9808159.0","3","23"
"9604129.0","70","16"
"9612204.0","26","23"
"9910019.0","13","17"
"9907095.0","1","14"
"2009.0","12","22"
"9608061.0","16","21"
"9510200.0","37","10"
"9602064.0","95","22"
"9603194.0","40","25"
"9710151.0","12","11"
"9510086.0","102","16"
"9902051.0","8","35"
"9711102.0","7","33"
"9802051.0","45","38"
"9607112.0","32","5"
"9710136.0","21","7"
"9612153.0","5","18"
"2035.0","2","19"
"9710119.0","29","10"
